sasdate,NAPMPI,PAYEMS,PAYEMS_RT,S&P 500,T10YFFM,GS10,TB3MS,GS10_TB3MS
Transform:,1,2,2,5,1,2,2,1
1/1/1959,70.7,52480,50992,55.62,1.54,4.02,2.82,1.2
2/1/1959,70.3,52687,51036,54.77,1.53,3.96,2.7,1.26
3/1/1959,71.2,53016,51357,56.16,1.19,3.99,2.8,1.19
4/1/1959,72.1,53320,51763,57.1,1.16,4.12,2.95,1.17
5/1/1959,73.9,53549,52100,57.96,1.41,4.31,2.84,1.47
6/1/1959,66.3,53679,52345,57.46,0.95,4.34,3.21,1.13
7/1/1959,64.8,53803,52572,59.74,0.93,4.4,3.2,1.2
8/1/1959,57.4,53334,52407,59.4,0.93,4.43,3.38,1.05
9/1/1959,50.9,53429,51999,57.05,0.92,4.68,4.04,0.64
10/1/1959,50.4,53359,52006,57,0.55,4.53,4.05,0.48
11/1/1959,51.9,53635,52120,57.23,0.53,4.53,4.15,0.38
12/1/1959,61.7,54175,52485,59.06,0.7,4.69,4.49,0.2
1/1/1960,71.9,54274,52800,58.03,0.73,4.72,4.35,0.37
2/1/1960,58.6,54513,52928,55.78,0.52,4.49,3.96,0.53
3/1/1960,52.4,54458,52736,55.02,0.41,4.25,3.31,0.94
4/1/1960,49.8,54812,53044,55.73,0.36,4.28,3.23,1.05
5/1/1960,45,54473,53042,55.22,0.5,4.35,3.29,1.06
6/1/1960,48.5,54347,53039,57.26,0.83,4.15,2.46,1.69
7/1/1960,48.2,54304,53133,55.84,0.67,3.9,2.3,1.6
8/1/1960,50.3,54271,53076,56.51,0.82,3.8,2.3,1.5
9/1/1960,50,54228,52994,54.81,1.2,3.8,2.48,1.32
10/1/1960,51.2,54144,52854,53.73,1.42,3.89,2.3,1.59
11/1/1960,45.6,53962,52704,55.47,1.49,3.93,2.37,1.56
12/1/1960,47.5,53744,52224,56.8,1.86,3.84,2.25,1.59
1/1/1961,47.3,53683,52342,59.72,2.39,3.84,2.24,1.6
2/1/1961,49.2,53556,51996,62.17,1.24,3.78,2.42,1.36
3/1/1961,55.4,53662,52005,64.12,1.72,3.74,2.39,1.35
4/1/1961,61.7,53626,52176,65.83,2.29,3.78,2.29,1.49
5/1/1961,66.6,53785,52433,66.5,1.73,3.71,2.29,1.42
6/1/1961,65.3,53977,52829,65.62,2.15,3.88,2.33,1.55
7/1/1961,64.3,54123,53160,65.44,2.75,3.92,2.24,1.68
8/1/1961,68.4,54298,53132,67.79,2.04,4.04,2.39,1.65
9/1/1961,66.8,54388,53171,67.26,2.1,3.98,2.28,1.7
10/1/1961,66.3,54522,54576,68,1.66,3.92,2.3,1.62
11/1/1961,58.3,54743,54478,71.08,1.33,3.94,2.48,1.46
12/1/1961,66.1,54871,54491,71.74,1.73,4.06,2.6,1.46
1/1/1962,66.4,54891,54434,69.07,1.93,4.08,2.72,1.36
2/1/1962,64.7,55187,54693,70.22,1.67,4.04,2.73,1.31
3/1/1962,66.9,55276,54828,70.29,1.08,3.93,2.72,1.21
4/1/1962,57.4,55602,55112,68.05,1.06,3.84,2.73,1.11
5/1/1962,55.3,55627,55291,62.99,1.51,3.87,2.69,1.18
6/1/1962,54.8,55644,55414,55.63,1.23,3.91,2.73,1.18
7/1/1962,54.7,55746,55632,56.97,1.3,4.01,2.92,1.09
8/1/1962,52.5,55838,55565,58.52,1.05,3.98,2.82,1.16
9/1/1962,52.4,55977,55551,58,1.08,3.98,2.78,1.2
10/1/1962,54,56041,55626,56.17,1.03,3.93,2.74,1.19
11/1/1962,56.9,56056,55589,60.04,0.98,3.92,2.83,1.09
12/1/1962,63.3,56028,55594,62.64,0.93,3.86,2.87,0.99
1/1/1963,56.5,56116,55551,65.06,0.91,3.83,2.91,0.92
